p80,p81,p82,p83
19204.21,2200,748.4211,504.21054
19729.475,2260,768.4211,517.8947
19884.21,2277.8948,774.7368,522.1053
19622.105,2248.4211,764.2105,514.7368
18928.422,2168.4211,736.8421,496.8421
17842.105,2044.2106,694.7368,468.42105
16776.842,1922.1052,653.6842,440
16045.263,1838.9474,625.2632,421.05264
15590.526,1786.3158,607.3684,409.4737
15340,1757.8948,597.8947,402.10526
15260,1748.421,594.7368,400
15401.053,1764.2106,600,404.21054
16055.789,1840,625.2632,421.05264
17347.37,1987.3684,675.7895,455.78946
18350.525,2102.1052,714.7368,482.10526
18741.053,2147.3684,730.5263,491.57895
18784.21,2152.6316,731.5789,492.6316
18721.053,2145.2632,729.4737,491.57895
18576.842,2128.4211,723.1579,487.3684
